tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost,usage_group
TA-00002,S-0066,7/7/2013,0,0,Yes,1,21.90593302,0 - 100
TA-00002,S-0066,7/7/2013,0,0,Yes,2,12.34121398,0 - 100
TA-00002,S-0066,7/7/2013,0,0,Yes,5,6.601826144,0 - 100
TA-00002,S-0066,7/7/2013,0,0,Yes,10,4.687769512,0 - 100
TA-00002,S-0066,7/7/2013,0,0,Yes,25,3.54156118,0 - 100
TA-00002,S-0066,7/7/2013,0,0,Yes,50,3.224406448,0 - 100
TA-00002,S-0066,7/7/2013,0,0,Yes,100,3.082521436,0 - 100
TA-00002,S-0066,7/7/2013,0,0,Yes,250,2.999059664,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,1,21.97270244,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,2,12.4079834,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,5,6.668595561,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,10,4.754538929,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,25,3.608330598,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,50,3.291175865,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,100,3.149290853,0 - 100
TA-00004,S-0066,7/7/2013,0,0,Yes,250,3.065829081,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,1,28.37422033,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,2,16.51430257,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,5,9.397795496,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,10,7.027481179,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,25,5.603066942,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,50,5.19410426,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,100,5.007706304,0 - 100
TA-00005,S-0066,9/1/2013,0,0,Yes,250,4.896423941,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,1,22.41504983,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,2,12.85033079,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,5,7.11372501,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,10,5.199668379,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,25,4.050677988,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,50,3.736305314,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,100,3.594420302,0 - 100
TA-00012,S-0066,8/11/2013,0,0,Yes,250,3.510958531,0 - 100
TA-00013,S-0026,7/21/1992,50,1,No,1,10.00428437,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,1,21.99495891,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,2,12.43023987,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,5,6.690852033,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,10,4.779577461,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,25,3.63058707,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,50,3.316214397,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,100,3.174329385,0 - 100
TA-00014,S-0066,3/17/2013,0,0,Yes,250,3.088085554,0 - 100
TA-00021,S-0030,2/10/2014,1,1,No,1,3.433060877,0 - 100
TA-00022,S-0013,7/27/2011,1,1,No,1,8.563177779,0 - 100
TA-00024,S-0066,8/1/2013,0,0,Yes,1,20.93499441,0 - 100
TA-00024,S-0066,8/1/2013,0,0,Yes,2,11.37027537,0 - 100
TA-00024,S-0066,8/1/2013,0,0,Yes,5,5.633669592,0 - 100
TA-00024,S-0066,8/1/2013,0,0,Yes,10,3.71961296,0 - 100
